Origin,Price,Q-Score,Processing Method,Coffee Variety,Fragrance,Aroma,Brightness,Flavor,Body,Finish,Sweetness,Clean Cup,Complexity,Uniformity,Cuppers Correction,Final
Africa,7,93.4,Dry Process,Heirloom Types,9.67943099,9.72315219,8.81510549,9.78496939,9.21528339,9.51297859,9.15630919,8.70389749,9.79618749,8.51268579,0.5,93.1067161
Central America,,93.2,Dry Process,Gesha,9.67138289,9.71516709,8.71796709,9.76379109,9.02884579,9.50468729,9.00858599,9.51153569,9.77509879,8.50293829,0,93.0403451
Central America,15.5,93.3,Wet Process,Gesha,9.27840832,9.50482772,8.81696152,9.67145662,8.30507212,9.50005172,8.99978762,9.01253732,9.69595272,8.51494432,2,92.9510288
Africa,6.75,93,Dry Process,Heirloom Types,9.37425786,9.62329176,8.72715546,9.67084106,9.21521646,9.19386746,8.98694216,8.20777586,9.79633406,8.20431786,2,92.7190684
Africa,6.75,93,Dry Process,Heirloom Types,9.2749652,9.501295,8.7261466,9.4927558,9.5124959,9.0257157,8.9853896,8.4969138,9.7799205,8.2044019,2,92.672719
Central America,17.65,92.8,Wet Process,Gesha,9.00791107,9.39782657,8.91046847,9.57672057,8.51661907,9.18804207,9.00082247,9.00523887,9.68883267,8.50751817,2,92.5317373
Africa,7.25,92.6,Wet Process Kenya Type,Bourbon Types,9.09299332,9.31090792,9.40312532,9.30237252,8.80716952,9.18988472,8.76752712,8.70087872,9.51506952,8.51007132,2,92.2802658
Africa,6.35,92.6,Wet Process,Heirloom Types,9.27598163,9.70971563,9.20468493,9.59435623,8.02693193,9.40052483,9.07516833,9.01038903,9.59241363,8.70983383,1,92.2413257
Africa,7,92.4,Dry Process,Heirloom Types,9.37303914,9.62206824,8.72594914,9.56455974,9.03648364,8.91513234,8.75815854,8.20657904,9.98381794,8.21421224,2,92.1306076
Africa,6.75,92.4,Dry Process,Heirloom Types,8.99720928,9.50044038,8.62457628,9.64969898,9.03522278,9.30182148,8.97625708,8.30784008,9.79220938,8.21472428,2,92.0783092
Africa,6.4,92.2,Wet Process,Heirloom Types,9.39063161,9.51314731,8.81088151,9.49649231,8.49477661,9.01165191,8.78373331,8.99820991,9.40302461,8.29745091,2,91.9430619
Africa,6.3,92.2,Wet Process,Heirloom Types,9.27633442,9.62158362,8.81532632,9.49400292,8.52268852,9.19329702,8.67137012,8.38059862,9.51842752,8.20637092,2.5,91.8408498
Indonesia & Asia,6.25,86.7,Wet Hulled,"Hybrids, Typica",8.2,8.5,8,8.5,9.3,8.2,8.5,7.2,9,7.8,3.5,86.7
Africa,6.4,92,Wet Process,Heirloom Types,8.80338993,9.50175993,8.72523823,9.56359333,8.21162263,9.19179863,8.98494093,8.49559913,9.51768813,9.00436913,2,91.7295247
Africa,6.65,92,Wet Process,Heirloom Types,9.47437668,9.61199758,9.02059938,9.49768258,8.52153778,9.39136128,8.98855778,9.00129128,9.49571418,8.99688148,0,91.7272492
Africa,7.8,92,Wet Process,Bourbon Types,8.79740092,9.01797822,9.02165362,9.18343782,9.02916572,9.10189202,8.76261472,8.69597202,9.39195682,8.99792812,2,91.7270058
Africa,6.45,92,Wet Process,Heirloom Types,9.00728089,9.02025089,8.80920279,9.38719999,8.71293889,9.02112159,9.57321509,9.00461159,9.17540129,8.28877699,2,91.7047941
Africa,6.75,92,Dry Process,Heirloom Types,9.16464334,9.31357964,8.73935224,9.58124164,9.31357964,8.81806474,9.05495454,8.20720584,9.78108504,8.02629334,2,91.7042556
Africa,7.75,92,Wet Process Kenya Type,Bourbon Types,9.27748025,9.50404655,9.59639555,9.52606685,8.81104195,9.19430935,8.76026255,8.29691805,9.51996235,8.51351655,1,91.6815005
South America,15.5,92,Honey Process,Gesha,9.26571674,9.49731464,8.54280304,9.29540744,8.93286344,9.21038364,8.76360914,8.50262084,9.49127784,8.49800324,2,91.6525936
Central America,14.25,91.6,Wet Process,Gesha,9.00731188,9.39673338,8.72176458,9.18571768,8.80458358,9.28408628,8.69575698,9.00464348,9.49917038,9.00023178,1,91.3000212
Africa,7.15,91.6,Wet Process Kenya Type,Bourbon Types,8.7084184,9.2059608,9.0295387,9.5067602,8.8101488,9.1928115,8.7594505,8.4850517,9.3998218,8.5020376,2,91.246544
Africa,7,91.5,Wet Process,Bourbon Types,9.1732261,9.020107,9.0237824,9.299546,8.712795,9.0209777,8.9806706,8.4924199,9.2802312,8.4962441,2,91.206233
Africa,6.5,91.3,Wet Process,Heirloom Types,9.00873287,9.20558747,8.73133477,9.28407487,8.61565597,9.02285677,8.67210307,8.76888187,9.49249177,8.49828057,2,91.0302523
Africa,7.9,91.3,Wet Process,Bourbon Types,9.08725868,9.30232848,9.20992028,9.30800568,8.53948348,9.03335798,8.56814418,8.49592148,9.26291978,8.49265998,2,90.9133672
Africa,6.75,91.1,Dry Process,Heirloom Types,9.01067297,9.31154867,8.62442827,9.18906447,8.71639867,9.02450987,8.75726937,8.18977587,9.57256747,8.20376437,2.5,90.7640733
Africa,6.15,91,Wet Process,Heirloom Types,9.00990321,9.31088571,8.81179931,9.28911521,9.03406361,8.70536641,8.75640901,8.18871241,9.38374171,8.51000341,2,90.6823949
Africa,7.2,91,Wet Process,Bourbon Types,9.01140421,9.20448511,9.11555881,9.30381321,8.79744451,8.81763291,8.66935561,8.29529591,9.28449841,8.50051131,2,90.6635609
Africa,6.15,90.9,Wet Process,Heirloom Types,8.80140056,9.02507446,8.72805256,9.18386596,9.02474446,8.90307466,8.75895256,8.69456906,9.28387206,8.49639366,2,90.6361714
Africa,6,90.9,Wet Process,Bourbon Types,9.00428041,9.01725041,9.02092581,9.28345621,8.51353581,9.10116611,8.68161421,8.78277241,9.00161111,8.49338751,2,90.6347989
Africa,7.95,90.9,Wet Process,Bourbon Types,9.00877546,9.49820776,9.40211746,9.20053076,8.51779816,9.11955526,8.86321906,9.00610516,9.28199936,9.00169156,0,90.6039724
Africa,6.35,91,Wet Process,Heirloom Types,8.89791186,9.31902386,8.66107826,9.41531546,8.72945006,9.01350096,8.95692516,8.36231306,9.15278036,8.49170096,2,90.5616264
Africa,6.65,90.9,Wet Process,Heirloom Types,9.01190951,8.89767551,8.81383141,9.39182861,8.80914981,9.02575021,8.75844771,8.51036071,9.18002991,8.50101661,2,90.5585079
Africa,7.25,90.7,Wet Process,Bourbon Types,8.80239578,9.01505268,9.11448378,9.20208448,9.03440468,8.71926488,9.42985048,8.70085998,9.18280208,8.49880118,1,90.4061642
Africa,7.65,90.7,Wet Process Kenya Type,Bourbon Types,8.80166264,9.11381364,9.18768614,9.02590774,8.80651494,8.70478174,8.57865454,8.70023744,9.28234314,8.49839804,2,90.3833876
Africa,7.1,90.7,Wet Process Kenya Type,Bourbon Types,9.09663557,9.31453577,9.29276727,9.20525527,8.81083177,8.81982017,8.77119327,8.59957667,9.28668567,8.50269857,1,90.3416883
Africa,5.95,90.5,Wet Process,Bourbon Types,8.8937979,9.0174942,8.8024025,9.1829567,8.3947201,9.0183649,8.6929226,9.0018549,9.0018549,8.4936313,2,90.232361
Africa,6.6,90.5,Dry Process,Heirloom Types,8.89609717,9.19978717,8.62059687,9.28584957,9.03092957,8.79924967,8.66486457,8.29094787,9.51167867,8.19999887,2,90.1983433
Africa,6.35,90.4,Wet Process,Heirloom Types,8.79923101,8.79288331,8.80876491,9.18527551,8.51609841,9.02068371,8.77276561,9.00417371,9.00417371,8.49595011,2,90.1091729
Africa,7.65,90.4,Wet Process,Bourbon Types,9.00976626,9.20278416,8.81175296,9.30208076,8.51918276,8.81605976,8.75638736,8.18895016,9.50153796,8.29149786,2,90.0702134
Africa,6.2,90.3,Dry Process,Bourbon Types,9.00762565,9.11218175,8.72203545,9.18605815,8.71328365,8.91073995,8.67391405,8.49290855,9.28071985,8.20053295,2,90.0013465
Africa,7.95,90.2,Wet Process,Bourbon Types,8.80222753,9.31063893,9.18816233,9.02642113,8.71552233,8.70537043,8.66783003,8.20209743,9.57164333,8.51008653,1.5,89.8713207
Africa,7.2,90.2,Wet Process Kenya Type,Bourbon Types,9.0115944,8.7091242,8.9142662,9.1900154,8.808848,8.9147154,8.5505511,8.203734,9.3853604,8.5117909,2,89.859723
Oceania,6.8,90.2,Wet Process,Heirloom Types,8.89339661,9.12263991,8.81984731,9.58650041,8.81516381,9.29498881,8.67580241,8.50304341,9.27810211,8.21051521,1,89.8128729
Africa,6.45,90,Wet Process,Heirloom Types,9.0114336,8.8972016,8.7960739,9.014843,9.0355911,8.7069416,8.6693916,8.1903629,9.3852177,8.292943,2,89.662752
Africa,6.7,90,Dry Process,Heirloom Types,9.01245222,9.20552932,8.52133662,9.17359552,8.71811592,8.91556842,8.67041022,8.19138152,9.38623632,8.20537392,2,89.6525658
Africa,6.25,90,Wet Process,Heirloom Types,8.69451005,8.89859065,8.91548785,9.19122375,8.81007635,8.91593705,8.67080365,8.49815425,9.11082515,8.29439125,2,89.6460285
Africa,6.15,89.8,Wet Process,Bourbon Types,8.99020314,9.01701284,8.90671564,9.10819074,8.51333354,8.81028674,8.76166274,8.69502374,8.99709814,8.00047274,2,89.5350576
Africa,6.65,89.8,Wet Process,Heirloom Types,8.89665043,9.02034673,8.79201323,9.01078613,8.80461703,8.70287903,8.56568823,8.50582793,9.00470743,8.49648383,2,89.5038357
Africa,7.8,89.7,Wet Process,Bourbon Types,9.01714252,9.01099892,8.89979482,9.01537722,8.29094242,8.70998122,8.57661552,8.49960632,9.18869422,8.49084682,2,89.4294118
Africa,5.95,89.7,Wet Process,Bourbon Types,9.01115868,9.02412668,8.81310058,9.18957398,8.80841898,9.10803478,8.56951398,8.49649308,9.17926288,8.50031638,1,89.3630792
South America,6.75,89.7,Wet Process,Heirloom Types,8.79039311,9.01580261,8.73930571,9.11471101,8.82809951,9.20439931,8.67867391,8.58559631,8.97834701,8.26467151,1.5,89.3368959
Africa,6.75,89.6,Dry Process,Heirloom Types,9.00762109,9.30849669,8.51660849,9.01102949,9.03177289,8.80005669,8.65460229,7.99853059,9.48200159,8.28928019,1.5,89.2946311
Africa,6.15,89.6,Wet Process,Heirloom Types,8.80109262,9.02166222,8.81062552,9.28785472,8.02243142,8.70421172,8.57808452,8.87472772,9.00602392,8.99328562,1.5,89.2890878
Africa,6.05,89.6,Wet Process,Bourbon Types,8.89149329,9.30884219,8.73048159,9.19447179,8.30657239,8.91917269,8.76260799,8.50137089,9.27597089,8.20901629,1.5,89.2149781
Africa,6.15,89.5,Wet Process,Heirloom Types,8.60551948,8.79294318,9.02354828,9.11105748,8.20884348,8.89617658,8.57627128,8.69786088,9.09176938,8.49600998,2,89.2085742
South America,6.65,89.5,Wet Process,"Caturra Types, Typica Types, Modern Hybrids",8.80317371,9.02374811,8.62445711,9.18920581,8.80802601,8.72013161,9.26112051,8.70174571,8.87681071,8.49158071,1,89.1689349
Africa,7.4,89.5,Wet Process,Bourbon Types,8.80392505,9.02442125,8.70870355,8.79617645,9.41197065,8.30584765,8.65016695,7.80121275,9.48576305,8.51181265,2,89.1515895
Africa,6.3,89.4,Wet Process,Heirloom Types,8.79788896,9.01846336,8.71991276,9.00890376,8.20745876,8.81172866,8.66345616,8.50396086,9.17360996,8.49461676,2,89.1217824
Africa,6.35,89.4,Dry Process,Heirloom Types,8.69034352,9.03274882,8.32939782,9.15646802,9.03274882,8.80104122,8.65559162,7.98638502,9.51355712,8.20171802,2,89.0837938
Africa,7,89.3,Wet Process Kenya Type,Bourbon Types,8.90656476,8.80032166,9.02130036,9.18640436,8.79455476,8.91374406,8.68295676,8.50290116,9.28318126,8.20807086,1,89.0228614
Africa,7.7,89.2,Wet Process Kenya Type,Bourbon Types,8.48164798,9.01232198,9.51865338,8.92324878,8.74362228,8.42627478,8.55781228,8.29178478,9.16301778,8.08161598,2,88.9651432
Africa,7.5,89.3,Wet Process Kenya Type,Bourbon Types,8.80718981,9.10813991,9.19321331,8.91746031,8.81204211,8.41966811,8.66170971,8.19374931,9.18290221,8.50392521,1.5,88.9281159
Africa,5.9,89.2,Wet Process,Bourbon Types,8.68993638,8.79380298,8.73545048,9.02360408,8.62537928,8.71753668,8.66650558,8.49446458,8.97449178,8.47882818,2,88.8754482
Africa,6.25,89.2,Wet Process,Bourbon Types,8.69263059,8.89673499,8.91363419,9.18940149,8.71662699,8.91408329,8.98450259,8.50942019,9.17908939,8.20387629,1,88.8679131
Africa,6.6,89.2,Dry Process,Heirloom Types,8.69739766,8.80177636,8.52461196,8.80037256,8.81297636,8.30985586,8.67368746,8.00641626,9.27567336,8.29723216,3,88.8202424
Africa,6.85,89,Wet Process Kenya Type,Bourbon Types,8.70243312,8.79297112,9.01034022,8.79156732,9.03108832,8.70243312,8.47665362,8.49221372,9.00426152,8.49603792,1.5,88.7082948
Africa,7,89,Wet Process Kenya Type,Bourbon Types,8.69179924,8.79617794,8.51901354,8.79477414,9.31108194,8.70563994,8.66808904,8.30718814,9.00319114,8.20304494,2,88.6762266
Africa,6.35,89,Dry Process,Heirloom Types,8.78397778,8.90503718,8.02441628,8.87818078,9.51966598,8.71477348,8.64678608,7.52851658,9.27920848,7.71943738,3,88.5848912
Africa,6.3,88.9,Dry Process,Heirloom Types,8.79300088,8.90020338,7.83148398,8.85607498,9.51474258,8.61309688,8.67242308,7.99208898,9.51943848,8.20744678,2,88.5290332
Africa,6.35,88.7,Wet Process,Heirloom Types,8.70815947,8.71016697,8.60904887,8.79728507,8.89840417,8.61128327,8.67061237,8.49796107,8.70361517,8.49346357,2,88.3483993
Africa,6.4,88.7,Honey Process,Bourbon Types,8.69731341,8.80169211,8.61203401,8.80028831,9.21687611,8.61426841,8.57396331,8.50093471,8.69345291,8.18917671,2,88.3210849
Central America,6.95,88.6,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.80127163,8.79492393,8.51775953,8.89426723,9.22129643,8.70438593,8.98241723,8.49416653,8.69984163,8.48966993,1,88.2887667
Africa,5.9,88.6,Wet Process,Bourbon Types,8.71132245,8.80185765,8.80045385,8.80045385,8.81305755,8.71132245,8.67377245,8.50110875,8.79003875,8.49661225,1.5,88.2186195
Central America,6.8,88.5,Wet Process,"Caturra Types, Bourbon Types, Typica Types",8.620169,8.808141,8.6906808,8.7967446,9.0082152,8.6273387,8.9796289,8.8009065,8.6856053,8.48257,1,88.190978
Africa,6.25,88.5,Wet Process,Bourbon Types,8.89841623,9.02210013,8.72357053,9.10004393,8.80639243,8.81538073,8.74465153,8.10060283,9.00646373,8.28237793,1,88.1833447
Africa,5.95,88.5,Wet Process,Bourbon Types,8.77887633,8.88847633,8.74149993,8.91642473,8.74203113,8.93104073,8.98779773,8.48678203,8.84988313,8.17718793,1,88.1795177
